substance,species,threshold_type,dose,unit,effect,onset,source,cite,quote
양파(Allium cepa),cat,임상징후 발현,5,g/kg,clinically important hematologic changes,1일~수일,S-034,(8) Cope 2005,the ingestion of 5 g/kg of onions by cats and 15-30 g/kg by dogs is enough to cause clinically important hematologic changes
양파(Allium cepa),dog,임상징후 발현,15-30,g/kg,clinically important hematologic changes,1일~수일,S-034,(8) Cope 2005,상동
마카다미아,dog,임상징후 발현,0.7,g/kg,development of clinical signs,12h 이내,S-034,(48) McKenzie 2000,The ingestion of as little as 0.7 g/kg of nuts has been associated with the development of clinical signs in dogs
테오브로민+카페인,dog,임상징후 발현,20,mg/kg,mild clinical signs,2-4h,S-034,(4) Gwaltney-Brant 2001,mild clinical signs appear in dogs after ingesting 20 mg/kg of theobromine and caffeine
테오브로민+카페인,dog,중증,40-50,mg/kg,severe clinical signs,2-4h,S-034,(4),severe clinical signs are observed at 40-50 mg/kg
테오브로민+카페인,dog,중증,60,mg/kg,seizures,2-4h,S-034,(4),seizures occur at 60 mg/kg
자일리톨,dog,임상징후 발현,0.03,g/kg,hypoglycemia,30-60분~12h,S-034,(68) DuHadway 2015,"Doses, as low as 0.03 g/kg, have resulted in hypoglycemia in this species"
자일리톨,dog,중증,0.5,g/kg,xylitol-induced liver failure,1-72h,S-034,(70) Dunayer 2006,the lowest dose associated with xylitol-induced liver failure in dogs is 0.5 g/kg
주목(Yew),dog,치사,2.3,g leaves/kg,minimum lethal dose,—,S-030,—,Minimum lethal dose in dogs is 2.3 g leaves/kg body weight
Allium,cat,임상징후 발현,0.5,% of body weight,toxic amount,수일 지연 가능,S-014,(4),The amount that is toxic to a cat is 0.5% of body weight
포도·건포도,dog,역치 없음,—,—,용량-반응 성립 안 함. 3 g/kg 사망 vs 20.6 g/kg 회복,24h 내 구토,S-034,(28)(31),the ingestion of any quantity of grapes or grape products by dogs should be handled aggressively
홉(Hops),dog,역치 없음,—,—,악성 고열. 5두 중 4두 사망,수 시간 내,S-034,(44) Duncan,용량 수치 없음
